shakti-dashboard  |  HTTP  8/13/2026 5:00:06 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:09:53 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:09:53 AM ::1 Returned 200 in 2 ms
shakti-dashboard  |  HTTP  8/13/2026 5:10:03 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:10:03 AM ::1 Returned 200 in 2 ms
shakti-dashboard  |  HTTP  8/13/2026 5:10:14 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:10:14 AM ::1 Returned 200 in 2 ms
shakti-dashboard  |  HTTP  8/13/2026 5:10:24 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:10:24 AM ::1 Returned 200 in 3 ms
shakti-dashboard  |  HTTP  8/13/2026 5:10:34 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:10:34 AM ::1 Returned 200 in 3 ms
shakti-dashboard  |  HTTP  8/13/2026 5:10:44 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:10:44 AM ::1 Returned 200 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:10:54 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:10:54 AM ::1 Returned 200 in 2 ms
shakti-dashboard  |  HTTP  8/13/2026 5:11:04 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:11:04 AM ::1 Returned 200 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:11:14 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:11:14 AM ::1 Returned 200 in 0 ms
shakti-dashboard  |  HTTP  8/13/2026 5:11:24 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:11:24 AM ::1 Returned 200 in 0 ms
shakti-dashboard  |  HTTP  8/13/2026 5:11:35 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:11:35 AM ::1 Returned 200 in 3 ms
shakti-dashboard  |  HTTP  8/13/2026 5:11:45 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:11:45 AM ::1 Returned 200 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:11:55 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:11:55 AM ::1 Returned 200 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:12:05 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:12:05 AM ::1 Returned 200 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:12:15 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:12:15 AM ::1 Returned 200 in 4 ms
shakti-dashboard  |  HTTP  8/13/2026 5:12:25 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:12:25 AM ::1 Returned 200 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:12:35 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:12:35 AM ::1 Returned 200 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:12:45 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:12:45 AM ::1 Returned 200 in 3 ms
shakti-dashboard  |  HTTP  8/13/2026 5:12:56 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:12:56 AM ::1 Returned 200 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:13:06 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:13:06 AM ::1 Returned 200 in 0 ms
shakti-dashboard  |  HTTP  8/13/2026 5:13:16 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:13:16 AM ::1 Returned 200 in 3 ms
shakti-dashboard  |  HTTP  8/13/2026 5:13:26 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:13:26 AM ::1 Returned 200 in 3 ms
shakti-dashboard  |  HTTP  8/13/2026 5:13:36 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:13:36 AM ::1 Returned 200 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:13:46 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:13:46 AM ::1 Returned 200 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:13:57 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:13:57 AM ::1 Returned 200 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 0 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/index-DWG4fkr0.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/index-DOZhHwl7.css
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/skeleton-D7ojhfvE.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 0 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/format-Dh8SHLjW.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 5 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/ExecutiveLayout-DHz98p9W.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/clipboard-check-C5i5vMuW.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 0 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/useQueries-CEqL3tEH.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 2 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/folder-git-2-Djwic8ge.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/shield-check-CMGO0kB6.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/user-check-58bkMBef.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 2 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 4 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 4 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/layers-BHtkYcrL.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/users-Y6oKSw1L.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/useSetuQueries-BhCGKgPG.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/useQueries-BPb9n44I.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 0 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/OperationsLayout-jPCKAhMk.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/file-text-39KjNO7x.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/clock-BUvWRfzf.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/usePranaQueries-Dq4opeB0.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 3 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/useBucketQueries-Dz__2Eip.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/useTantraQueries-DgAPappo.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/server-Dpfv_WyR.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 2 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/IntegrationLayout-DBTRNHLx.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 0 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/circle-check-big-Dmz8PdQG.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/circle-alert-CUvWMz0I.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 0 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/info-BWE7_LF2.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 0 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/useNiyantranQueries-Bw_tVZxS.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/DecisionIntelligenceLayout-CWB6TL2N.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/circle-check-C7xrJulQ.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 0 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/useKarmaQueries-DROsdRfH.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/octagon-alert-Mse2-FAx.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/useSanskarQueries-DaRUFbSZ.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 0 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/ObservabilityLayout-EBiGxb0o.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/useKeshavQueries-BNdxnShm.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/WorkflowLayout-BAEH72tP.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 0 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/OperatorConsoleLayout-DrCe39tQ.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 2 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/shield-alert-CQfxwcgC.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 0 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/RuntimeHealthLayout-Caz2cqB3.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 0 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/user-C23OfzLF.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/ReplayLayout-CERhcySe.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/EvidenceLayout-Cv6lAo3K.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 0 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/RepositoryRegistryLayout-D7Yo6Yg4.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/git-branch-4zHSIOQk.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/BuildRegistryLayout-C_4L7YFz.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/CapabilityRegistryLayout-apA-H39d.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 0 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/MigrationQueueLayout-DmtANgBX.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/ReviewQueueLayout-BUovJ2wG.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/search-B0007xAy.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/CapabilityDependencyGraphLayout-DGwvjB5r.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/EmployeeExecutionLayout-rJcXaz8C.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/DeliveryIntelligenceLayout-Sfb1xPfW.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 GET /assets/EngineeringCapacityLayout-C-LPVBsV.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:01 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:07 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:14:07 AM ::1 Returned 200 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:17 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:14:17 AM ::1 Returned 200 in 2 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:27 AM ::1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:14:27 AM ::1 Returned 200 in 3 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:30 AM 10.60.15.1 GET /
shakti-dashboard  |  HTTP  8/13/2026 5:14:30 AM 10.60.15.1 Returned 304 in 0 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:30 AM 10.60.15.1 GET /assets/skeleton-D7ojhfvE.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:30 AM 10.60.15.1 GET /assets/index-DWG4fkr0.js
shakti-dashboard  |  HTTP  8/13/2026 5:14:30 AM 10.60.15.1 GET /assets/index-DOZhHwl7.css
shakti-dashboard  |  HTTP  8/13/2026 5:14:30 AM 10.60.15.1 Returned 304 in 1 ms
shakti-dashboard  |  HTTP  8/13/2026 5:14:30 AM 10.60.15.1 Returned 304 in 1 ms
